event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,bas:fix-type,gps:fix-type-raw,gps:hdop,gps:horizontal-accuracy-estimate,gps:satellite-count,gps:vdop,internal-temperature,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
16273121728,true,2019-08-17 00:01:00.000,116.163411,-31.667917,,217.0,,"3D",5.2,,4,8.3,27.97,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121738,true,2019-08-17 03:00:32.000,116.163583,-31.668119,,240.0,,"3D",2.1,,4,3.6,25.03,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121742,true,2019-08-17 03:20:36.000,116.163736,-31.667989,,250.0,,"3D",2.4,,4,3.1,24.97,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121747,true,2019-08-17 05:01:00.000,116.163656,-31.667886,,241.0,,"3D",1.9,,7,3.2,28.94,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121748,true,2019-08-17 05:20:34.000,116.1636,-31.667878,,245.0,,"3D",2.0,,6,2.5,27.51,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121751,true,2019-08-17 05:40:33.000,116.163636,-31.668058,,257.0,,"3D",1.9,,6,2.1,26.27,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121758,true,2019-08-17 06:00:35.000,116.163175,-31.667847,,257.0,,"3D",1.9,,5,3.1,26.92,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121760,true,2019-08-17 06:20:33.000,116.163556,-31.667853,,231.0,,"3D",1.9,,5,3.1,25.81,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121782,true,2019-08-17 10:37:00.000,116.163522,-31.667994,,243.0,,"3D",1.3,,7,2.4,29.6,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121784,true,2019-08-17 12:12:38.000,116.163494,-31.668031,,240.0,,"3D",1.7,,5,2.9,28.29,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121796,true,2019-08-17 18:21:00.000,116.16355,-31.667828,,234.0,,"3D",2.0,,5,4.1,27.38,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121797,true,2019-08-17 18:40:32.000,116.163414,-31.667892,,226.0,,"3D",1.7,,5,3.1,27.05,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121799,true,2019-08-17 19:00:33.000,116.163447,-31.667853,,237.0,,"3D",1.7,,5,2.8,26.73,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121802,true,2019-08-17 19:20:33.000,116.163503,-31.667744,,239.0,,"3D",2.1,,5,3.1,27.12,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121806,true,2019-08-17 19:40:33.000,116.1636,-31.667764,,236.0,,"3D",2.3,,4,3.1,26.79,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121811,true,2019-08-17 20:00:34.000,116.163569,-31.667753,,239.0,,"3D",5.4,,4,7.9,26.14,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121844,true,2019-08-18 01:21:00.000,116.163442,-31.668103,,239.0,,"3D",2.8,,4,3.0,27.25,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121852,true,2019-08-18 03:21:00.000,116.163594,-31.667878,,233.0,,"3D",4.1,,5,7.6,28.23,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121854,true,2019-08-18 03:40:32.000,116.163497,-31.667819,,249.0,,"3D",3.4,,6,5.7,26.47,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121871,true,2019-08-18 05:00:33.000,116.163561,-31.667819,,245.0,,"3D",2.5,,5,3.0,27.97,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121874,true,2019-08-18 05:20:32.000,116.163578,-31.667856,,231.0,,"3D",2.4,,5,8.4,26.47,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121879,true,2019-08-18 05:40:33.000,116.163583,-31.667828,,231.0,,"3D",1.8,,6,7.2,26.53,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
16273121882,true,2019-08-18 06:00:32.000,116.163647,-31.667831,,246.0,,"3D",1.8,,6,6.0,26.34,,"gps",,"NP12","NP12","BfRw Petrogale lateralis"
